Neighborhooods - Analysis Boundaries,Call Type,Call Type Group,Call Number
Portola,Medical Incident,Alarm,3
Mission Bay,Traffic Collision,Non Life-threatening,2
Pacific Heights,Medical Incident,Non Life-threatening,122
Tenderloin,Traffic Collision,Potentially Life-Threatening,29
Sunset/Parkside,Other,Alarm,4
Russian Hill,Structure Fire,Alarm,14
West of Twin Peaks,Medical Incident,Alarm,1
Treasure Island,Watercraft in Distress,Fire,12
Marina,Smoke Investigation (Outside),Alarm,2
Seacliff,Citizen Assist / Service Call,Alarm,5
Financial District/South Beach,Train / Rail Incident,Fire,8
McLaren Park,Citizen Assist / Service Call,Alarm,1
Tenderloin,Other,Non Life-threatening,12
Inner Richmond,Alarms,Alarm,36
Nob Hill,Other,Alarm,3
Lincoln Park,Alarms,Alarm,9
Pacific Heights,Citizen Assist / Service Call,Alarm,7
Golden Gate Park,Smoke Investigation (Outside),Alarm,1
Excelsior,Outside Fire,Fire,1
Oceanview/Merced/Ingleside,Other,Alarm,2
Visitacion Valley,Electrical Hazard,Alarm,1
Outer Mission,Structure Fire,Alarm,3
South of Market,HazMat,Alarm,5
Financial District/South Beach,Other,Fire,1
Nob Hill,Fuel Spill,Alarm,1
Bernal Heights,Smoke Investigation (Outside),Alarm,1
Outer Richmond,Alarms,Alarm,82
Castro/Upper Market,Alarms,Alarm,65
Seacliff,Medical Incident,Non Life-threatening,10
Oceanview/Merced/Ingleside,Fuel Spill,Alarm,3
Nob Hill,Traffic Collision,Non Life-threatening,4
Chinatown,Other,Non Life-threatening,1
Pacific Heights,Elevator / Escalator Rescue,Alarm,3
Inner Richmond,Outside Fire,Fire,2
Potrero Hill,Other,Non Life-threatening,1
Castro/Upper Market,Vehicle Fire,Fire,3
Oceanview/Merced/Ingleside,Traffic Collision,Non Life-threatening,4
Hayes Valley,Confined Space / Structure Collapse,Fire,6
Outer Mission,Citizen Assist / Service Call,Alarm,8
Chinatown,Traffic Collision,Potentially Life-Threatening,10
Potrero Hill,Traffic Collision,Potentially Life-Threatening,7
Russian Hill,Medical Incident,Non Life-threatening,70
Pacific Heights,Structure Fire,Alarm,55
Bernal Heights,Oil Spill,Alarm,1
Castro/Upper Market,Outside Fire,Fire,20
South of Market,Electrical Hazard,Alarm,1
Mission Bay,Other,Alarm,1
Bayview Hunters Point,Smoke Investigation (Outside),Alarm,7
